row_index,state,bid,hid,uid,current_section,recommended_section,justification,text_excerpt
22,CA,CA_201520160AB2050,255341,22,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning NONLEGISLATOR ORG in support thank you
23,CA,CA_201520160AB2050,255341,23,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,morning NONLEGISLATOR with ORG in support
24,CA,CA_201520160AB2050,255341,24,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning mr chair and senators NONLEGISLATOR GPE also in support
25,CA,CA_201520160AB2050,255341,25,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",okay opposition to AB 2050 please come forward
27,CA,CA_201520160AB2050,255341,27,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you so much as you may have heard I have asked the author if we can if there will be inclined to take amendments as we work through some of the narrowing the costliness and the complicatedness that has been raised by the opposition so we'll hear from the author later next
28,CA,CA_201520160AB2050,255341,28,VOTE,EXPERT_TESTIMONY,"Pre-motion substantive testimony from an expert/organization witness, not vote procedure.",well i'm going to NONLEGISLATOR with the clean water action i'm going to respect your request that we not reiterate comments that we have already been made but I would support everything that mr hing had just said we do thank the author for her commitment to providing clean and safe affordable water
29,CA,CA_201520160AB2050,255341,29,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",others in opposition to AB2050
30,CA,CA_201520160AB2050,255341,30,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning my name is ORG with ORG I would just like to reiterate or not reiterate but to side with the comments from my colleagues from ORG we've been continuing to work with the author's office and hope to continue to narrow the scope of BILL thank you
31,CA,CA_201520160AB2050,255341,31,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,okay lets close the public hearing bring it to the questions of the author senator COMMITTEE_MEMBER
32,CA,CA_201520160AB2050,255341,32,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,good morning mr chair colleagues ms PUBLIC I really appreciate you bringing BILL forward I think it should be a right of every californian to be able to have safe drinking water it's also great to see my friend NONLEGISLATOR here who I have worked with for a number of years while on ORG and delighte
33,CA,CA_201520160AB2050,255341,33,VOTE,EXPERT_TESTIMONY,"Pre-motion substantive testimony from an expert/organization witness, not vote procedure.",well I would be force to speculate but my sense is that these are just very difficult to do and unless you have willing the way the system is set up is you do your consolidations with neighboring water organization entities and unless they're willing to take you on
34,CA,CA_201520160AB2050,255341,34,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,right
35,CA,CA_201520160AB2050,255341,35,VOTE,EXPERT_TESTIMONY,"Pre-motion substantive testimony from an expert/organization witness, not vote procedure.",and then that means to assume some of the debt and the burden then it becomes difficult to find someone to coordinate with and so that's part of the challenge I think is that is that you know we need to set up a system that allows kind of an orderly transfer and them if you put systems together that
198,CA,CA_201720180AB1013,254930,7,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,all right do we have a motion
307,CA,CA_201720180AB1316,53957,11,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you opposition questions comments seeing none we have a motion by senator roth would you like to close
331,CA,CA_201720180AB1341,52671,19,LEGISLATOR_DISCUSSION,PUBLIC_COMMENTS,"Explicit PUBLIC_COMMENTS cue and public speaker indicate public comment, not the assigned section.",mr chair and members NONLEGISLATOR on behalf of ORG in support of BILL I echo my colleague's comments I would just add that we know that the presence or absence of a reliable sustainable incentive program for zero-emission vehicles oftentimes is the make-or-break as to whether or not a consumer is g
346,CA,CA_201720180AB1397,52710,3,LEGISLATOR_DISCUSSION,PUBLIC_COMMENTS,"Explicit PUBLIC_COMMENTS cue and public speaker indicate public comment, not the assigned section.",good morning NONLEGISLATOR with ORG and ORG we are the sponsors of BILL and here in support and to answer any questions
361,CA,CA_201720180AB1412,52476,10,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,excellent i'll second thank you very much we have a motion in a second would you care to close
366,CA,CA_201720180AB1423,52479,0,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,org's out is 5-0 thank you very much mr BILL_AUTHOR mr BILL_AUTHOR would you like to continue with item number 15 AB 1423
368,CA,CA_201720180AB1423,52479,2,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",thank you very much do you have anybody in support would anyone like to join us in witnesses to support
370,CA,CA_201720180AB1423,52479,4,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you very much are there witnesses in opposition seeing none are there questions of the ORG is there a motion you have a motion and a second from mr gray mr BILL_AUTHOR would you like to close
371,CA,CA_201720180AB1423,52479,5,VOTE,LEGISLATOR_DISCUSSION,Author remarks before roll call are not vote procedure.,respectfully
456,CA,CA_201720180AB1661,52603,1,LEGISLATOR_DISCUSSION,PUBLIC_COMMENTS,"Explicit PUBLIC_COMMENTS cue and public speaker indicate public comment, not the assigned section.",right thank you madam chair and members AB 1661 replaces the gpe's former accountability system also known as the academic performance index ORG thank you with the new multiple measures accountability system that was recently adopted by ORG based on eight straight priorities establishes part of ORG 
491,CA,CA_201720180AB169,51835,12,VOTE,PUBLIC_COMMENTS,"Explicit PUBLIC_COMMENTS cue and public speaker indicate public comment, not the assigned section.",NONLEGISLATOR on behalf of ORG in support there you go
492,CA,CA_201720180AB169,51835,13,VOTE,PUBLIC_COMMENTS,"Explicit PUBLIC_COMMENTS cue and public speaker indicate public comment, not the assigned section.",you gotta earn your pay you got it NONLEGISLATOR on behalf of ORG in support
495,CA,CA_201720180AB169,51835,16,VOTE,PUBLIC_COMMENTS,"Explicit PUBLIC_COMMENTS cue and public speaker indicate public comment, not the assigned section.",NONLEGISLATOR on behalf of ORG in support
497,CA,CA_201720180AB169,51835,18,VOTE,PUBLIC_COMMENTS,"Explicit PUBLIC_COMMENTS cue and public speaker indicate public comment, not the assigned section.",NONLEGISLATOR with ORG in support
499,CA,CA_201720180AB169,51835,20,VOTE,PUBLIC_COMMENTS,"Explicit PUBLIC_COMMENTS cue and public speaker indicate public comment, not the assigned section.",NONLEGISLATOR on behalf of ORG in support
630,CA,CA_201720180AB2164,254859,6,LEGISLATOR_DISCUSSION,PUBLIC_COMMENTS,"Explicit PUBLIC_COMMENTS cue and public speaker indicate public comment, not the assigned section.",madam chair and members NONLEGISLATOR with ORG I would echo the comments of PUBLIC on the commercial side there are 72 different ways that you can do a commercial lease under the way that BILL is currently written it would put some of the onus on a landlord property owner to be peeking through your 
664,CA,CA_201720180AB2164,254859,40,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,okay thank you any other comments all right we have a motion we need a second
705,CA,CA_201720180AB221,52933,30,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,mr COMMITTEE_MEMBER please
707,CA,CA_201720180AB221,52933,32,VOTE,LEGISLATOR_DISCUSSION,Author remarks before roll call are not vote procedure.,i'm not seeing where you're going with that over 25 if somebody's fighting the case you're going to have extra layers of protection because they're fighting the case in the case of a fraudulent claim we want to narrowly tail this down to where are the fraudulent claims happening and they're not happ
708,CA,CA_201720180AB221,52933,33,VOTE,EXPERT_TESTIMONY,"Pre-motion substantive testimony from an expert/organization witness, not vote procedure.",I don't either because what's adding cost is $2500 settlement after 2500 settlement multiplied by thousands and thousands of claims it's that spike in continuous trauma I talked about earlier that's where the cost is so if you take the profit out of the business model that we talked about originally
709,CA,CA_201720180AB221,52933,34,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,there are other questions mr COMMITTEE_MEMBER I think has a question
711,CA,CA_201720180AB221,52933,36,VOTE,LEGISLATOR_DISCUSSION,Author remarks before roll call are not vote procedure.,that you mr COMMITTEE_MEMBER mr chair if I might
712,CA,CA_201720180AB221,52933,37,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,please go ahead
713,CA,CA_201720180AB221,52933,38,VOTE,LEGISLATOR_DISCUSSION,Author remarks before roll call are not vote procedure.,might respond just for clarification purposes mr COMMITTEE_MEMBER I think you said the reverse on the criteria if the criteria are met the claim does get paid if it's under 25 and the criteria cannot be met that is in which case we're focusing in on the fraud you said that backwards in your testamen
714,CA,CA_201720180AB221,52933,39,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,yeah I just want to say and this is way off the deep end in the law there's something called a negative pregnant in a way you construe statutes that if you exclude a certain thing occurring on a human certain set of facts it leaves open the possibility as NONLEGISLATOR was alluding that if those fac
715,CA,CA_201720180AB221,52933,40,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,mr COMMITTEE_MEMBER you'll be pleased to know that PUBLIC has offered to work on this gigantic mobile-construct that you talked about
716,CA,CA_201720180AB221,52933,41,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,that's a good one that's a good one are there other okay okay other questions or comments on BILL mr gibson
718,CA,CA_201720180AB221,52933,43,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,second there's a motion and a second any other questions or comments mr COMMITTEE_MEMBER
719,CA,CA_201720180AB221,52933,44,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you mr chair i'll thank the author for BILL but I do have concern of the unintended consequences all of BILL so I will not be able to support BILL today thank you
720,CA,CA_201720180AB221,52933,45,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,other questions or comments ms COMMITTEE_MEMBER
721,CA,CA_201720180AB221,52933,46,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you mr chairman just very briefly so boy you really picked a doozy yes you did
722,CA,CA_201720180AB221,52933,47,VOTE,LEGISLATOR_DISCUSSION,Author remarks before roll call are not vote procedure.,don't I always pick doozies ms COMMITTEE_MEMBER
724,CA,CA_201720180AB221,52933,49,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,alright any other questions or comments mr BILL_AUTHOR this is an opportunity to close
788,CA,CA_201720180AB2281,255128,52,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you very much assemblymember any other questions or comments board members i'd be happy to entertain a motion i'm sorry okay senator glaser moves BILL would you like to close BILL_AUTHOR
790,CA,CA_201720180AB2281,255128,54,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,and you will accept the amendments that are
791,CA,CA_201720180AB2281,255128,55,VOTE,LEGISLATOR_DISCUSSION,Author remarks before roll call are not vote procedure.,oh yes we're accepting ORG amendments thank you
804,CA,CA_201720180AB2316,255190,3,VOTE,INTRO,Secretary is taking attendance/establishing quorum rather than recording a bill vote.,ORG ORG here nguyen hernandez leyva mitchell mitchell here monning monning here newman nielsen nielsen here roth roth here
805,CA,CA_201720180AB2316,255190,4,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,okay; we now have a quorum sorry to interrupt you but please continue
806,CA,CA_201720180AB2316,255190,5,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,thank you my name is NONLEGISLATOR and i'm with ORG we are the ORG representing the professionals whom would be impacted by BILL and we are co-sponsors of AB 2316
808,CA,CA_201720180AB2316,255190,7,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,we provide trainings for ORG on how to stay compliant with regulations and we advised patients in locked psychiatric facilities of their legal rights the job of a patients rights advocate is to protect the civil rights of ORG consumers
810,CA,CA_201720180AB2316,255190,9,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",witnesses in support
811,CA,CA_201720180AB2316,255190,10,VOTE,EXPERT_TESTIMONY,"Pre-motion substantive testimony from an expert/organization witness, not vote procedure.",yes good afternoon thank you mr chairman and members of the ORG for allowing me to speak on AB 2316 my name is ORG and i'm member of ORG and i'm the chairperson of ORG the ORG was also a co-sponsor of AB 2316
812,CA,CA_201720180AB2316,255190,11,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,the patient rights ORG is mandated by statute and is to advise on the policies and practices that affect patients rights last year our ORG conducted a survey of county patient rights advocate programs and we've received a response of over 50%
814,CA,CA_201720180AB2316,255190,13,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",thank you other witnesses support back microphone
815,CA,CA_201720180AB2316,255190,14,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,mr chair NONLEGISLATOR ORG our office of patient's rights are actually the organization that has the contract to provide the training services and we're in support of BILL i'd just like to re-emphasize that this is not intended to actually be a replacement of the annual training requirements that ot
862,CA,CA_201720180AB2394,254800,2,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",thank you other witnesses in support
864,CA,CA_201720180AB2394,254800,4,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good afternoon madame chair and members my name is NONLEGISLATOR with ORG ORG of california ORG ORG california ORG ORG ORG ORG all in support of this legislation thank you
865,CA,CA_201720180AB2394,254800,5,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",other witnesses in support witnesses in opposition
866,CA,CA_201720180AB2394,254800,6,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,madame chair and members NONLEGISLATOR with ORG A couple of problems with BILL it's been decades since GPE did offer a benefit of this nature to veterans and even then we're talking about something that was really limited to a specific income level here we're actually talking for the author's own co
867,CA,CA_201720180AB2394,254800,7,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,questions and comments from the ORG dr COMMITTEE_MEMBER
868,CA,CA_201720180AB2394,254800,8,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,yeah I just think this money would be better spent on something like homelessness of veterans which is a really big problem right now
870,CA,CA_201720180AB2394,254800,10,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,can I make a comment if you're not aware veterans and federal benefits brought in over $436 million in new federal benefits which most of will continue to come in as long as they live here in GPE
871,CA,CA_201720180AB2394,254800,11,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,and that's a great point as well the way the GPE model is based it's based on population so if GPE has more veterans the gpe's forced to build more clinics and more hospitals and put more resources in the state if we have less veterans the ORG will spend less resources in GPE
872,CA,CA_201720180AB2394,254800,12,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,other questions and comments from the ORG seeing none would you like to close
929,CA,CA_201720180AB2447,254696,52,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you assemblyman brough anyone else quiet on that side of the ORG okay so do we have a motion and a second yet okay we have a motion and a second I have some comments and then mrchairman do you want to close it out so I think-
953,CA,CA_201720180AB2479,254654,8,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,moved by ms COMMITTEE_MEMBER second by mr COMMITTEE_MEMBER want to thank the author would you like to close
1089,CA,CA_201720180AB2781,254661,18,OTHER,INTRO,Secretary is taking attendance/establishing quorum rather than recording a bill vote.,PRESIDING_CHAIR here lackey here carrillo gonzalez fletcher kiley COMMITTEE_MEMBER here santiago
1127,CA,CA_201720180AB2859,254663,3,OTHER,INTRO,Secretary is taking attendance/establishing quorum rather than recording a bill vote.,cunningham low here brough here arambula COMMITTEE_MEMBER here bloom here chen here chiu here eggman fong here gipson grayson here holden irwin mullin ting
1231,CA,CA_201720180AB2920,255562,14,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,susan we have a motion and a second any other questions seeing none we will would you like to close
1293,CA,CA_201720180AB3126,255128,1,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you very much mr NONLEGISLATOR
1295,CA,CA_201720180AB3126,255128,3,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",very good thank you other witnesses in support witnesses in opposition bringing it back to the ORG for-
1297,CA,CA_201720180AB3126,255128,5,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,we have a motion from senator COMMITTEE_MEMBER would you like to close PUBLIC
1305,CA,CA_201720180AB313,52464,0,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,parks and ORG I think it's 9 AM yeah exactly 9AM we're going to start as a ORG and we'll call this meeting to order and we'll take a formal roll call once we get a quorum here so tuesday april 25th 2017 we have one presenter at this time and that is item 2 ORG ORG member LEGISLATOR microphone's your
1307,CA,CA_201720180AB313,52464,2,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",thank you your first witness
1308,CA,CA_201720180AB313,52464,3,VOTE,EXPERT_TESTIMONY,"Pre-motion substantive testimony from an expert/organization witness, not vote procedure.",yes good morning chair garcia members of the ORG my name is NONLEGISLATOR general manager for ORG I want to thank LEGISLATOR for his effort working on BILL byron bethany was the technical sponsor working with ORG member LEGISLATOR on crafting the initial legislation and we're here today to support B
1309,CA,CA_201720180AB313,52464,4,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,anyone else wishing to speak in favor of BILL please step forward
1310,CA,CA_201720180AB313,52464,5,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning mr chairman members NONLEGISLATOR in behalf of ORG in support
1311,CA,CA_201720180AB313,52464,6,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning mr chair and members NONLEGISLATOR in behalf of ORG in support
1312,CA,CA_201720180AB313,52464,7,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning mr chair and members of ORG lauren nolentagic on behalf of ORG ORG ORG and ORG and ORG in support
1313,CA,CA_201720180AB313,52464,8,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,thank you chair garcia and members danny merkley ORG in support
1314,CA,CA_201720180AB313,52464,9,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning NONLEGISLATOR of ORG in support
1315,CA,CA_201720180AB313,52464,10,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,morning NONLEGISLATOR of the california cattlemen's association in support
1316,CA,CA_201720180AB313,52464,11,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,morning mr chair NONLEGISLATOR on behalf of ORG and GPE delta mendota water authority in support
1317,CA,CA_201720180AB313,52464,12,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",all right anyone else support anyone opposing BILL please step forward
1319,CA,CA_201720180AB313,52464,14,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",thank you anyone else wishing to speak in opposition of BILL any questions from ORG item 2 ORG okay seeing none we'll wait til we have a quorum to take action on the item
1320,CA,CA_201720180AB313,52464,15,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,mr chair may I respond to the opposition
1322,CA,CA_201720180AB313,52464,17,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you mr chair and members
1324,CA,CA_201720180AB313,52464,19,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,good morning
1336,CA,CA_201720180AB37,51835,1,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,okay everybody we please move out quietly and we'll start our ORG ORG is a support support that means both republican democrats see the value of BILL please present it
1338,CA,CA_201720180AB37,51835,3,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",thank you first witness
1340,CA,CA_201720180AB37,51835,5,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you very much ma'am we're trying to keep them to two minutes next one would you please present your comments yes sir may I proceed pardon yeah
1342,CA,CA_201720180AB37,51835,7,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you very much for your testimony and you speak well for your generation thank you thank you sir did you have one more I think we already had our two did you want to present maybe he just wanted to state that he was in support okay state your name in support
1343,CA,CA_201720180AB37,51835,8,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,NONLEGISLATOR deputy superintendent for instructional learning standards support branch of ORG just to let you know that the vote for ORG today is a vote for teachers a vote for students and a coalition of them saying they want to learn about the media arts
1344,CA,CA_201720180AB37,51835,9,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you very much sir anybody like to say your organization and your position of support
1345,CA,CA_201720180AB37,51835,10,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,NONLEGISLATOR on behalf of ORG tom torlikson a sponsor of BILL in support thank you
1346,CA,CA_201720180AB37,51835,11,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you
1347,CA,CA_201720180AB37,51835,12,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,NONLEGISLATOR on behalf of the GPE music educators and the GPE arts educators who are the sponsors of the original VAPA standards bill in support of BILL thank you
1348,CA,CA_201720180AB37,51835,13,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you very much
1349,CA,CA_201720180AB37,51835,14,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good afternoon NONLEGISLATOR with ORG we serve central valley and northern california territories in after school programming in the digital media arts and technology programming in support
1350,CA,CA_201720180AB37,51835,15,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you
1351,CA,CA_201720180AB37,51835,16,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,my name is NONLEGISLATOR i'm a student at ORG in elk grove unified school district and i'm in support of BILL thank you sir
1352,CA,CA_201720180AB37,51835,17,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,my name is NONLEGISLATOR i'm an animation teacher over 20 years at ORG and this is way overdue strong support
1353,CA,CA_201720180AB37,51835,18,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you sir
1354,CA,CA_201720180AB37,51835,19,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,NONLEGISLATOR DDSR employment plus running an international award-winning video production digital program for adults with intellectual disabilities
1355,CA,CA_201720180AB37,51835,20,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you sir
1356,CA,CA_201720180AB37,51835,21,VOTE,EXPERT_TESTIMONY,"Pre-motion substantive testimony from an expert/organization witness, not vote procedure.",my name's dr NONLEGISLATOR i'm the 20 year director of ORG and ORG we represent an eight county program and i'd like to pass this to the author these are the credits from the movie dr strange 40 pages 26 of which are lists of 2000 people that have digital arts capacity just for that one movie this i
1357,CA,CA_201720180AB37,51835,22,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you sir
1358,CA,CA_201720180AB37,51835,23,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,thank you mr chairman NONLEGISLATOR representing the GPE alliance for arts education in strong support just want to thank the author and the whole committee for your consistent support of visual and supporting arts thank you
1359,CA,CA_201720180AB37,51835,24,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you ma'am
1360,CA,CA_201720180AB37,51835,25,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,NONLEGISLATOR on behalf of ORG also very much in support
1361,CA,CA_201720180AB37,51835,26,VOTE,LEGISLATOR_DISCUSSION,Pre-motion legislator/chair question or discussion was mislabeled VOTE.,thank you ma'am
