hid,bid,token_count,token_sequence
254735,CA_201720180AB2729,22,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
52364,CA_201720180AB275,39,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
52997,CA_201720180AB614,32,BILL_AUTHOR -> NONLEGISLATOR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> BILL_AUTHOR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> BILL_AUTHOR -> PRESIDING_CHAIR
52997,CA_201720180AB1335,109,PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> EXPERT -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
52997,CA_201720180AB519,54,PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> EXPERT -> COMMITTEE_MEMBER -> EXPERT -> COMMITTEE_MEMBER -> EXPERT -> COMMITTEE_MEMBER -> EXPERT -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> EXPERT -> PRESIDING_CHAIR
53995,CA_201720180SB219,46,PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> NONLEGISLATOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
253000,CA_201720180AB1500,32,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> EXPERT -> BILL_AUTHOR -> EXPERT -> BILL_AUTHOR -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
254741,CA_201720180AB1955,30,BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> EXPERT -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
254741,CA_201720180AB2101,17,PRESIDING_CHAIR -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR
255340,CA_201720180SB1248,29,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR -> EXPERT -> PUBLIC -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
255340,CA_201720180SB1191,21,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
52056,CA_201720180AB1232,21,PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
54071,CA_201720180AB1486,17,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> EXPERT -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
54071,CA_201720180AB1351,22,PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR
52992,CA_201720180AB1348,33,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
52992,CA_201720180AB1713,18,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PUBLIC
52992,CA_201720180AB1163,23,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> SECRETARY -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR
52992,CA_201720180AB243,28,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
54168,CA_201720180SB732,44,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> SECRETARY -> PRESIDING_CHAIR
254523,CA_201720180AB2810,75,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
254617,CA_201720180AB2468,31,BILL_AUTHOR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PUBLIC -> PUBLIC -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR
255335,CA_201720180SB1409,41,BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> EXPERT -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> EXPERT -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> BILL_AUTHOR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY
255335,CA_201520160SB1459,13,PRESIDING_CHAIR -> PRESIDING_CHAIR -> EXPERT -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR
255546,CA_201720180AB3252,17,PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
255670,CA_201720180AB2470,27,PRESIDING_CHAIR -> BILL_AUTHOR -> NONLEGISLATOR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
51821,CA_201720180AB18,47,PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> BILL_AUTHOR -> SECRETARY -> BILL_AUTHOR -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> COMMITTEE_MEMBER -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR
