state,bid,hid,uid,pid,speaker.position,speaker.position_value,speaker.is_presiding,relative_position,sent_count,mentions_speaker,mentions_bill,speech_act_cues,section_cues,section,text,vote_section,proposed_section,justification,text_excerpt
CA,CA_201720180AB263,52399,24,69,LEGISLATOR,2.0,0,0.8571428571428571,6,0,0,ARGUMENT,,PUBLIC_COMMENTS,yes with that I know there's some question regarding opposition regarding radios and by all means they have to be able to re-communicating with our men and women out there on the streets providing the care that they do to take care of us on the day to day basis so with that in closing you know i've been in the ambulance industry over 30 years it's an industry that's very unique that operates 24 seven seven days a week no matter what goes on here or there we always have folks there ready available to respond to us in case that time is needed and being that i've been doing that for so long I could tell you stories and stories of things that as I talked about relate to me that happened to me personally and close friends of mine as well and I know jamie you talked about who takes care of us as first responders but be rest assured that as a fellow ORG provider you have a voice in GPE and that's why i'm here to address these issues and concerns because this is an industry that's not really well represented and doesn't really have a voice but they do have a voice with me here in GPE so with that I respectfully ask for your aye vote,,CLOSING_REMARKS,This is the author/member closing response following an explicit invitation to close and immediately preceding the vote.,yes with that I know there's some question regarding opposition regarding radios and by all means they have to be able to re-communicating with our men and women out there on the streets providing the care that they do to take care of us on the day to day basis so with that in closing you know i've been in the ambulanc
CA,CA_201720180AB2859,254663,24,101330,LEGISLATOR,2.0,0,0.75,5,0,0,,,PUBLIC_COMMENTS,thank you very much well I really appreciate the opportunity to present BILL the whole purpose of it is to prevent young children toddlers and teens for being to access these drugs but it also provides an opportunity for the person that has been prescribed the opioids to know if in fact anybody has been taking or trying to get into their drugs we've also heard about situations where it raises the awareness where open houses people are showing up and going to the medicine cabinets unbelievable but it really kind of I think identifies the whole issue of having those prescriptions available for anybody that might want to be looking at the medicine cabinet this is one of the solutions,,CLOSING_REMARKS,This is the author/member closing response following an explicit invitation to close and immediately preceding the vote.,thank you very much well I really appreciate the opportunity to present BILL the whole purpose of it is to prevent young children toddlers and teens for being to access these drugs but it also provides an opportunity for the person that has been prescribed the opioids to know if in fact anybody has been taking or tryin
CA,CA_201720180AB2890,255345,30,30,LEGISLATOR,2.0,0,0.7142857142857143,9,1,0,,,PUBLIC_COMMENTS,thank you senator again thank you senator COMMITTEE_MEMBER absolutely a collaboration very much has been great to work with senator COMMITTEE_MEMBER as well senator skinner we currently have a housing crisis I think we cannot continue to accept the current situation as normal or okay I think this is why we continue to push this legislation unfortunately in reaction to much of the good that's been done to cities as our gentleman from the league has referred to cities have now erected significant barriers regarding lot sizes I think that it's a very significant concern we really want the ORG to approve BILL really appreciate the comments from the ORG and thank you so much for your consideration,,CLOSING_REMARKS,This is the author/member closing response following an explicit invitation to close and immediately preceding the vote.,thank you senator again thank you senator COMMITTEE_MEMBER absolutely a collaboration very much has been great to work with senator COMMITTEE_MEMBER as well senator skinner we currently have a housing crisis I think we cannot continue to accept the current situation as normal or okay I think this is why we continue to 
CA,CA_201720180AB2920,255562,15,4,LEGISLATOR,2.0,0,0.6521739130434783,10,1,0,ARGUMENT,,PUBLIC_COMMENTS,thank you madam chair and members of the ORG and i'd like to thank my good friend mr NONLEGISLATOR from ORG and i'd like to put your mind at rest there is nothing about BILL that speaks to pension liability there's nothing about BILL that would and there's no evidence that would suggest that either of these fine and upstanding jurisdictions will do anything other than they have asked to do they're simply asking to put before their voters the opportunity for their voters to decide if they wish to tax themselves in the same way there more than a dozen jurisdictions have already done and be given the same waiver to do so by this ORG we're asking that there be the same opportunities provided for GPE and for the ORG in the north lake tahoe area so they can serve their citizens I respectfully ask for your aye vote,,CLOSING_REMARKS,This is the author/member closing response following an explicit invitation to close and immediately preceding the vote.,thank you madam chair and members of the ORG and i'd like to thank my good friend mr NONLEGISLATOR from ORG and i'd like to put your mind at rest there is nothing about BILL that speaks to pension liability there's nothing about BILL that would and there's no evidence that would suggest that either of these fine and up
CA,CA_201720180AB3033,254683,3,100932,PRESIDING_CHAIR,7.0,0,0.2142857142857142,6,0,0,,,PUBLIC_COMMENTS,thank you any other witnesses in support okay any witnesses in opposition okay seeing none any questions from the ORG okay I have a motion by ORG seconded by assemblymember reyes and the recommendation is do pass as amended to appropriations would you like to close thank you good afternoon,,CLOSING_REMARKS,"The utterance is a transition into closing remarks: it may note a motion, but its operative cue asks the author to close before roll call.",thank you any other witnesses in support okay any witnesses in opposition okay seeing none any questions from the ORG okay I have a motion by ORG seconded by assemblymember reyes and the recommendation is do pass as amended to appropriations would you like to close thank you good afternoon
CA,CA_201720180AB915,52546,46,101332,PRESIDING_CHAIR,7.0,0,0.8846153846153846,5,1,0,,,VOTE,are there any further questions of the ORG we need a second we have a second would you like to close mr LEGISLATOR,SECOND,CLOSING_REMARKS,"The utterance is a transition into closing remarks: it may note a motion, but its operative cue asks the author to close before roll call.",are there any further questions of the ORG we need a second we have a second would you like to close mr LEGISLATOR
CA,CA_201720180AB916,52654,2,6440,NONLEGISLATOR,0.0,0,0.2857142857142857,6,0,0,,,PUBLIC_COMMENTS,do we have any witnesses in support seeing none do we have any witnesses in opposition seeing none we have a motion and a second bring it back to the ORG any comments seeing none would you like to close,,CLOSING_REMARKS,"The utterance is a transition into closing remarks: it may note a motion, but its operative cue asks the author to close before roll call.",do we have any witnesses in support seeing none do we have any witnesses in opposition seeing none we have a motion and a second bring it back to the ORG any comments seeing none would you like to close
CA,CA_201720180SB1107,255187,3,100932,PRESIDING_CHAIR,7.0,0,0.3,5,0,0,,,PUBLIC_COMMENTS,thank you very much is there any witnesses in opposition hearing none questions from the ORG thank you we have a motion and a second would you like to close,,CLOSING_REMARKS,"The utterance is a transition into closing remarks: it may note a motion, but its operative cue asks the author to close before roll call.",thank you very much is there any witnesses in opposition hearing none questions from the ORG thank you we have a motion and a second would you like to close
CA,CA_201720180SB1113,254180,8,103,PRESIDING_CHAIR,7.0,0,0.6153846153846154,8,1,0,,,PUBLIC_COMMENTS,any opposition questions comments from any of the members see no questions or comments we have a motion we have a motion senator pan I will be supporting BILL would you like to close senator COMMITTEE_MEMBER,,CLOSING_REMARKS,"The utterance is a transition into closing remarks: it may note a motion, but its operative cue asks the author to close before roll call.",any opposition questions comments from any of the members see no questions or comments we have a motion we have a motion senator pan I will be supporting BILL would you like to close senator COMMITTEE_MEMBER
CA,CA_201720180SB1113,254180,9,25,COMMITTEE_MEMBER,4.0,0,0.6923076923076923,8,0,0,,,PUBLIC_COMMENTS,yes just very briefly I appreciate witnesses in support and the org's support for this I would just add another element you know the era that we're living in headline news about school shootings and active shooters but it's happening in workplaces as well and often involves a disgruntled employee often somebody dealing with domestic issues depression psychological it's a psychiatric break and just as we invest in prevention in our health care plans this is an investment in prevention that could avert these types of tragedies it could be as simple as employers voluntarily participating in making sure all employees know what services are available through the health plan that they have and making sure they know there's that safety line so with that I would appreciate your aye vote and look forward to working on implementation of this thank you,,CLOSING_REMARKS,This is the author/member closing response following an explicit invitation to close and immediately preceding the vote.,yes just very briefly I appreciate witnesses in support and the org's support for this I would just add another element you know the era that we're living in headline news about school shootings and active shooters but it's happening in workplaces as well and often involves a disgruntled employee often somebody dealing
CA,CA_201720180SB1113,254180,10,103,PRESIDING_CHAIR,7.0,0,0.7692307692307693,4,0,1,,,PUBLIC_COMMENTS,thank you we're item number 4 SB 111 it's do pass as amended to ORG call the members,,VOTE,"The utterance begins or conducts voting activity: motion, roll-call instruction, tally, open-roll handling, or bill disposition.",thank you we're item number 4 SB 111 it's do pass as amended to ORG call the members
CA,CA_201720180SB237,255691,2,294,EXPERT,1.0,0,0.021505376344086,16,1,0,,"ROLL_CALL,PUBLIC_COMMENTS",VOTE,mr chairman and members NONLEGISLATOR on behalf of ORG we indeed we did work with the author two years ago when his ORG passed this ORG which had a very modest increase in direct access of 8000 gigawatt hours which is double what BILL proposes to do we have been meeting with the direct access community over that period of time and there's a lot of pent up demand for instance my alma mater ORG has a very robust DA contract but it's capped and as you know mr chairman they've expanded that campus considerably and they have a need to increase their contract and they can't so we felt that a very modest increase which look this is less than what we did in the ORG increase it's been 10 years it's roughly a little less than 1500 megawatts if you branch it out there is waiting lists throughout GPE of commercial industrial public institutions local governments that far exceed that but we think that if folks support competition and the folks who are opposing BILL supposedly are all about competition then we should do a modest increase and allow that competition to move forward so we would urge an aye vote this is an issue that is very familiar to this ORG so we would urge an aye vote,RESULTS,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",mr chairman and members NONLEGISLATOR on behalf of ORG we indeed we did work with the author two years ago when his ORG passed this ORG which had a very modest increase in direct access of 8000 gigawatt hours which is double what BILL proposes to do we have been meeting with the direct access community over that period
CA,CA_201720180SB237,255691,3,48,PRESIDING_CHAIR,7.0,0,0.032258064516129,3,0,0,,,VOTE,thank you you have an organized presentation are you guys in support,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",thank you you have an organized presentation are you guys in support
CA,CA_201720180SB237,255691,4,1194,NONLEGISLATOR,0.0,0,0.043010752688172,1,0,0,,,VOTE,yes,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",yes
CA,CA_201720180SB237,255691,5,48,PRESIDING_CHAIR,7.0,0,0.053763440860215,1,0,0,,,VOTE,do you guys both want to speak okay if you can-,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",do you guys both want to speak okay if you can-
CA,CA_201720180SB237,255691,6,1194,NONLEGISLATOR,0.0,0,0.064516129032258,1,0,0,,,VOTE,we will be very brief,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",we will be very brief
CA,CA_201720180SB237,255691,7,48,PRESIDING_CHAIR,7.0,0,0.075268817204301,1,0,0,,,VOTE,please,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",please
CA,CA_201720180SB237,255691,8,1194,NONLEGISLATOR,0.0,0,0.086021505376344,12,1,0,,,VOTE,mr chairman and members of the ORG NONLEGISLATOR GPE manufacturers and technology association and i'll start by saying that energy prices in GPE for industrial ratepayers are about 86% above the national average or about 110% above our neighbors that makes GPE less competitive for energy intensive manufacturing investments and that includes everything from making cars to planes to pharmaceuticals to solar panels etc things that GPE would benefit from that would provide good paying jobs for many of mr nonlegislator's members as well and because of that we believe that choice is important and giving manufacturers an opportunity to find a more affordable energy option is critical to their success absent that GPE will continue to lag behind the rest of the nation in growing manufacturing jobs as we see a reshoring of that coming back from overseas as we see a resurgence in that growth so we have an opportunity here to give manufacturers a small amount of choice beyond what currently exists to expand a program that has proven to have great demand and great success to go along with it so with that we ask for your support thank you,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",mr chairman and members of the ORG NONLEGISLATOR GPE manufacturers and technology association and i'll start by saying that energy prices in GPE for industrial ratepayers are about 86% above the national average or about 110% above our neighbors that makes GPE less competitive for energy intensive manufacturing investm
CA,CA_201720180SB237,255691,9,950,EXPERT,1.0,0,0.0967741935483871,11,1,0,,PUBLIC_COMMENTS,VOTE,mr chairman and members NONLEGISLATOR representing ORG as well as ORG would just like to say very briefly we have capped the direct access market for some time it was last open in the keyhole bill in 2009 since then essentially the ORG market has grown unfettered we don't cap that ORG is expecting that by 2028 there'll be about 128000 gigawatts that'll go ORG with BILL if BILL passed and was signed by the governor you'd be talking about 28000 gigawatts so that's 128 versus 28 so this is a very modest increase we've allowed retail to grow but just for one sector of the providers we believe this is a modest opening and it's time to open this up thank you,RESULTS,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",mr chairman and members NONLEGISLATOR representing ORG as well as ORG would just like to say very briefly we have capped the direct access market for some time it was last open in the keyhole bill in 2009 since then essentially the ORG market has grown unfettered we don't cap that ORG is expecting that by 2028 there'll
CA,CA_201720180SB237,255691,10,48,PRESIDING_CHAIR,7.0,0,0.1075268817204301,1,0,0,,,VOTE,speakers in support if you could state your name your position and who you're representing,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",speakers in support if you could state your name your position and who you're representing
CA,CA_201720180SB237,255691,11,388,NONLEGISLATOR,0.0,0,0.1182795698924731,1,1,0,,,VOTE,mr chairman and members NONLEGISLATOR here on behalf of both ORG and albertsons safeway in support,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",mr chairman and members NONLEGISLATOR here on behalf of both ORG and albertsons safeway in support
CA,CA_201720180SB237,255691,12,444,NONLEGISLATOR,0.0,0,0.1290322580645161,1,1,0,,PUBLIC_COMMENTS,VOTE,mr chair and members NONLEGISLATOR on behalf of ORG in support thank you,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",mr chair and members NONLEGISLATOR on behalf of ORG in support thank you
CA,CA_201720180SB237,255691,13,1021,NONLEGISLATOR,0.0,0,0.1397849462365591,2,1,0,,PUBLIC_COMMENTS,VOTE,mr chair and members NONLEGISLATOR on behalf of ORG in support,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",mr chair and members NONLEGISLATOR on behalf of ORG in support
CA,CA_201720180SB237,255691,14,721,NONLEGISLATOR,0.0,0,0.1505376344086021,1,1,0,,PUBLIC_COMMENTS,VOTE,NONLEGISLATOR on behalf of ORG and its three GPE campuses and ORG in support,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",NONLEGISLATOR on behalf of ORG and its three GPE campuses and ORG in support
CA,CA_201720180SB237,255691,15,1202,NONLEGISLATOR,0.0,0,0.1612903225806451,1,1,0,,PUBLIC_COMMENTS,VOTE,NONLEGISLATOR with ORG we support,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",NONLEGISLATOR with ORG we support
CA,CA_201720180SB237,255691,16,590,NONLEGISLATOR,0.0,0,0.1720430107526881,1,1,0,,PUBLIC_COMMENTS,VOTE,NONLEGISLATOR with ORG GPE farmers and food processors we support,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",NONLEGISLATOR with ORG GPE farmers and food processors we support
CA,CA_201720180SB237,255691,17,161836,NONLEGISLATOR,0.0,0,0.1827956989247312,1,1,0,,PUBLIC_COMMENTS,VOTE,NONLEGISLATOR on behalf of ORG and cox automotive and we support,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",NONLEGISLATOR on behalf of ORG and cox automotive and we support
CA,CA_201720180SB237,255691,18,330,NONLEGISLATOR,0.0,0,0.1935483870967742,1,1,0,,PUBLIC_COMMENTS,VOTE,NONLEGISLATOR on behalf of ORG in support,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",NONLEGISLATOR on behalf of ORG in support
CA,CA_201720180SB237,255691,19,405,NONLEGISLATOR,0.0,0,0.2043010752688172,1,1,0,,,VOTE,NONLEGISLATOR for ORG in support,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",NONLEGISLATOR for ORG in support
CA,CA_201720180SB237,255691,20,153882,NONLEGISLATOR,0.0,0,0.2150537634408602,1,1,0,,,VOTE,NONLEGISLATOR representing endeavor support thank you,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",NONLEGISLATOR representing endeavor support thank you
CA,CA_201720180SB237,255691,21,163443,NONLEGISLATOR,0.0,0,0.2258064516129032,1,1,0,,PUBLIC_COMMENTS,VOTE,NONLEGISLATOR representing ORG in support,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",NONLEGISLATOR representing ORG in support
CA,CA_201720180SB237,255691,22,153437,NONLEGISLATOR,0.0,0,0.2365591397849462,2,1,0,,,VOTE,NONLEGISLATOR representing the 21000 people of IBW 1245 we support thank you,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",NONLEGISLATOR representing the 21000 people of IBW 1245 we support thank you
CA,CA_201720180SB237,255691,23,48,PRESIDING_CHAIR,7.0,0,0.2473118279569892,2,0,0,,,VOTE,do we have speakers in opposition on BILL if you could,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",do we have speakers in opposition on BILL if you could
CA,CA_201720180SB237,255691,24,99,COMMITTEE_MEMBER,4.0,0,0.2580645161290322,1,0,0,,,VOTE,none,DISCUSSION,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",none
CA,CA_201720180SB237,255691,25,14343,EXPERT,1.0,0,0.2688172043010752,52,1,1,,,OTHER,mr chairman and members NONLEGISLATOR for calcca first of all I want to say always regrettable to oppose one of senator committee_member's bills worked closely with him on the conservation legislation and his staff this year which was a great product and I have utmost respect for the senator especially in the area of energy nonetheless reasonable people can disagree and we disagree on this one we disagree for a few reasons one BILL isn't just a DA cap lift BILL also is a study usually that tells the ORG to study the issue of further raising the cap usually a study doesn't in legislation doesn't predetermine the outcome but this one does it says that the ORG must come up with recommendations for raising the cap and it must rely on a few different provisions a few different facts and issues one of which is on the last page of BILL between lines 10 and 12 the study would look at protecting ORG customers and ESP customers by the way who are almost all large industrial customers from rate shifts from cost shifts but not ORG customers and we think that and the comments by a couple of the witnesses really gets to what not for the author necessarily but some of the sponsors what BILL is about BILL is about ORG it's for them and so we just don't think that's fair if you're going to have the ORG do its study have it be open ended have them come to their conclusion based on their professional expertise and don't predetermine any of the outcome so that's A B that the analysis well let me just back up one of the factors there were many factors in the energy crisis way back when was lack of resource adequacy and including by ORG and by esps and many esps just failed and bailed back then and so now we have these resource adequacy requirements and recently 11 waivers were filed as your analysis mr chair indicates for resource adequacy and 10 of them were filed by esps so that remains an issue and ironically the entities that failed and bailed are the ones that aren't necessarily meeting resource adequacy today next is a renewable portfolio standard also referenced in your analysis mr chairman it says ious are on track or exceeding the ORG current law it says pous are on track or exceeding current law the ORG for current law requirements it says ccas are on track or exceeding current law it says six esps despite the fact that it is the law are out of compliance with current ORG requirements so we could have ORG 100 we could have SB 101 we have current law now many of them are not complying with that law now so we don't think this is the time to reward that industry there's a problem with ORG there's a problem with the ORG lastly it was notable to me that the representative from IBEW who he did reference BILL few years ago where there was a lot of criticism by that representative on short term contracts that esps had that it was a job problem it wiped out his representatives' jobs that was some of his testimony two three years ago this time even though that's a union all I heard was energy policy I didn't hear anything about what the nexus is to the client frankly so at any rate again there's no doubt that the author knows this issue well we have the utmost respect for him I witnessed him help save the state really during the energy crisis but we have to oppose BILL thank you,,EXPERT_TESTIMONY,"The current VOTE label is phase-shifted: these utterances are organized witness testimony and chair witness-management cues, not roll-call or motion activity.",mr chairman and members NONLEGISLATOR for calcca first of all I want to say always regrettable to oppose one of senator committee_member's bills worked closely with him on the conservation legislation and his staff this year which was a great product and I have utmost respect for the senator especially in the area of e
CA,CA_201720180SB237,255691,26,48,PRESIDING_CHAIR,7.0,0,0.2795698924731182,3,0,0,,,OTHER,thank you very much any other speakers in opposition out there in the crowd if you can please make your way to the mic,,PUBLIC_COMMENTS,"These are short public opposition comments and chair solicitation of those comments, not unrelated/OTHER material.",thank you very much any other speakers in opposition out there in the crowd if you can please make your way to the mic
CA,CA_201720180SB237,255691,27,36467,NONLEGISLATOR,0.0,0,0.2903225806451613,1,1,0,,PUBLIC_COMMENTS,OTHER,NONLEGISLATOR with ORG we oppose BILL thank you,,PUBLIC_COMMENTS,"These are short public opposition comments and chair solicitation of those comments, not unrelated/OTHER material.",NONLEGISLATOR with ORG we oppose BILL thank you
CA,CA_201720180SB237,255691,28,121035,NONLEGISLATOR,0.0,0,0.3010752688172043,1,1,0,,PUBLIC_COMMENTS,OTHER,NONLEGISLATOR on behalf of ORG in GPE in opposition,,PUBLIC_COMMENTS,"These are short public opposition comments and chair solicitation of those comments, not unrelated/OTHER material.",NONLEGISLATOR on behalf of ORG in GPE in opposition
CA,CA_201720180SB237,255691,29,161803,NONLEGISLATOR,0.0,0,0.3118279569892473,1,1,0,,PUBLIC_COMMENTS,OTHER,NONLEGISLATOR with ORG regretfully opposed,,PUBLIC_COMMENTS,"These are short public opposition comments and chair solicitation of those comments, not unrelated/OTHER material.",NONLEGISLATOR with ORG regretfully opposed
